date,start time,start stress,end time,end stress,T pred,result
11/18/23,09:38:00 AM,3.5,10:45:00 AM,2.2,80.00%,T
11/19/23,09:40:00 AM,2.8,10:41:00 AM,2.9,75.00%,T
11/19/23,11:35:00 AM,3.1,12:55:00 PM,2.8,50.00%,T
11/20/23,07:36:00 AM,2.9,08:49:00 AM,2.3,75.00%,T
11/21/23,09:21:00 AM,2.9,10:57:00 AM,2.2,85.00%,D
11/25/23,08:33:00 AM,2.2,09:33:00 AM,1.8,80.00%,D
11/25/23,10:11:00 AM,2,11:11:00 AM,1.6,70.00%,D
11/26/23,09:40:00 AM,2.8,10:48:00 AM,2.2,70.00%,T
11/26/23,11:00:00 AM,2.5,12:00:00 PM,2.1,76.00%,D
11/27/23,09:30:00 PM,2.3,10:36:00 PM,1.9,72.00%,T
11/28/23,08:40:00 AM,2.4,09:40:00 AM,2.6,55.00%,T
12/02/23,09:24:00 AM,2.3,10:25:00 AM,2.2,66.00%,T
12/19/23,07:02:00 AM,3.1,08:02:00 AM,2.3,78.00%,D
12/22/23,10:45:00 AM,3.5,11:45:00 AM,2.7,80.00%,T
12/28/23,03:20:00 PM,3.9,04:20:00 PM,2.3,80.00%,T
12/30/23,10:06:00 AM,2.7,11:08:00 AM,1.7,75.00%,T
01/06/24,11:30:00 AM,2.2,12:30:00 PM,1.8,75.00%,T
01/07/24,11:12:00 AM,2.7,12:12:00 PM,2.1,75.00%,T
01/15/24,01:20:00 PM,2.9,02:20:00 PM,3.2,50.00%,T
02/04/24,09:05:00 AM,2.7,10:18:00 AM,2.2,78.00%,T
02/27/24,09:03:00 AM,2.8,10:03:00 AM,2,80.00%,T
03/04/24,10:17:00 AM,2.6,11:17:00 AM,1.9,82.00%,T
03/10/24,07:44:00 AM,3.3,08:44:00 AM,2.1,83.00%,T
03/17/24,07:58:00 PM,3.3,10:21:00 PM,2.5,88.00%,T
03/18/24,07:11:00 AM,2.9,08:16:00 AM,2.9,50.00%,T
04/05/24,08:40:00 AM,3.1,09:40:00 AM,2.2,81.00%,T
04/14/24,11:26:00 AM,2.8,12:26:00 PM,2.1,84.00%,D
04/24/24,07:57:00 AM,2.9,08:57:00 AM,2.7,55.00%,T
04/25/24,11:52:00 AM,3,01:05:00 PM,2.2,72.00%,D
04/28/24,12:24:00 PM,2.6,01:24:00 PM,2.5,70.00%,T
06/21/24,03:47:00 PM,2.7,04:47:00 PM,2.1,73.00%,T
07/09/24,08:38:00 AM,2.8,09:41:00 AM,2.3,75.00%,T
07/17/24,07:13:00 PM,2.7,08:13:00 PM,2.1,80.00%,T
07/27/24,08:50:00 AM,2.8,09:50:00 AM,2.3,77.00%,D
07/30/24,02:25:00 PM,2.6,03:27:00 PM,2.2,60.00%,T
08/05/24,09:01:00 AM,2.8,10:19:00 AM,2.4,60.00%,T
10/21/24,11:03:00 AM,2.2,12:03:00 PM,2.1,80.00%,D
10/21/24,12:17:00 PM,2.1,01:39:00 PM,2.2,60.00%,T
11/11/24,04:23:00 PM,3.8,05:23:00 PM,2.8,75.00%,T
11/12/24,10:30:00 AM,3.3,11:30:00 AM,2.3,78.00%,T
11/16/24,10:50:00 AM,2.8,11:51:00 AM,2.6,50.00%,T
11/21/24,04:45:00 PM,3.1,06:32:00 PM,2.8,65.00%,T
12/21/24,08:41:00 AM,2.6,10:24:00 AM,2.1,75.00%,T
12/22/24,01:20:00 PM,2.8,02:20:00 PM,2.2,88.00%,D
12/23/24,10:00:00 AM,2.6,01:04:00 PM,2.3,70.00%,D
01/03/25,09:40:00 AM,3.1,10:40:00 AM,2.3,70.00%,D
01/03/25,10:40:00 AM,2.3,11:40:00 AM,2.1,60.00%,T
01/05/25,09:30:00 AM,1.9,10:30:00 AM,2.3,62.00%,D
01/05/25,10:37:00 AM,2.3,11:37:00 AM,2.1,70.00%,T
01/06/25,11:28:00 AM,2,01:27:00 PM,2.1,71.00%,T
01/07/25,02:54:00 PM,2.1,03:55:00 PM,2.3,65.00%,T
01/07/25,07:28:00 PM,2,08:28:00 PM,1.8,71.00%,D
01/08/25,06:53:00 AM,2,08:24:00 AM,1.8,73.00%,T
01/09/25,08:33:00 AM,2.1,09:33:00 AM,2,71.00%,T
01/09/25,09:34:00 AM,2,10:34:00 AM,1.9,69.00%,D
01/13/25,06:09:00 PM,1.9,07:09:00 PM,1.7,78.00%,D
01/15/25,09:37:00 AM,2.2,12:34:00 PM,2,62.00%,T
01/15/25,01:00:00 PM,2,02:03:00 PM,2.3,60.00%,T
01/19/25,10:43:00 AM,2.1,11:43:00 AM,1.8,71.00%,D
01/19/25,11:45:00 AM,1.8,12:46:00 PM,2.1,60.00%,T
01/20/25,11:08:00 AM,2.1,12:32:00 PM,2,62.00%,D
01/24/25,08:53:00 AM,2.4,09:55:00 AM,2.3,61.00%,T
01/25/25,03:13:00 PM,2.1,04:13:00 PM,2,68.00%,T
01/25/25,04:16:00 PM,2,05:17:00 PM,1.9,72.00%,T
01/26/25,08:31:00 AM,2.3,09:31:00 AM,2.2,61.00%,T
01/26/25,06:02:00 PM,2,07:02:00 PM,1.8,71.00%,T
01/27/25,06:51:00 PM,2,08:05:00 PM,1.7,73.00%,T
01/28/25,07:54:00 AM,2.1,08:54:00 AM,2.1,60.00%,T
01/28/25,06:46:00 PM,2.1,07:47:00 PM,1.9,71.00%,D
01/29/25,11:13:00 AM,2.2,12:11:00 PM,2.2,59.00%,T
02/01/25,12:01:00 PM,2,01:24:00 PM,1.8,71.00%,T
02/02/25,11:06:00 AM,2.2,12:06:00 PM,1.9,72.00%,T
02/02/25,04:07:00 PM,2,05:19:00 PM,1.8,73.00%,T
02/03/25,05:09:00 PM,2,06:10:00 PM,2,59.00%,T
02/04/25,10:21:00 AM,2.3,11:21:00 AM,2.2,66.00%,T
02/05/25,11:27:00 AM,2.2,12:28:00 PM,2.2,62.00%,T
02/07/25,12:18:00 PM,2.2,01:18:00 PM,2,69.00%,D
02/07/25,01:18:00 PM,2,02:20:00 PM,1.9,73.00%,T
02/09/25,09:32:00 AM,2,11:46:00 AM,2.1,59.00%,T
02/11/25,08:25:00 AM,2,09:24:00 AM,1.8,70.00%,T
02/14/25,09:17:00 AM,1.9,10:17:00 AM,1.9,58.00%,T
02/15/25,09:09:00 AM,2,10:09:00 AM,2.1,55.00%,
02/17/25,10:58:00 AM,2,12:00:00 PM,1.9,64.00%,D
02/17/25,12:01:00 PM,1.9,03:32:00 PM,1.7,72.00%,T
02/20/25,12:37:00 PM,2.1,01:37:00 PM,2,69.00%,D
02/23/25,10:37:00 AM,1.9,11:37:00 AM,2,58.00%,D
02/23/25,11:38:00 AM,2,12:38:00 PM,2,64.00%,T
02/24/25,04:28:00 PM,2,05:26:00 PM,1.9,71.00%,T
02/25/25,08:00:00 AM,2.4,09:15:00 AM,2.2,72.00%,T
02/25/25,09:16:00 AM,2.2,10:16:00 AM,2.1,69.00%,T
02/26/25,11:50:00 AM,2.4,12:50:00 PM,2.3,60.00%,T
02/28/25,07:45:00 AM,2.1,08:45:00 AM,1.9,74.00%,T
02/28/25,04:58:00 PM,2.1,05:58:00 PM,1.8,75.00%,D
03/03/25,06:12:00 PM,2.1,07:12:00 PM,2,61.00%,T
