sugar,subject,brew temp (Â°C),aroma,flavor,strength,goodness,quality
0,D,100,1,1.5,4,1.5,1.7
0,D,93,1,2,4,2,2.1
0,D,79,1.5,2.5,4,3.5,3.05
0,D,86,2,3,4,3,3
1,D,100,2.5,1.5,4,2,2.1
1,D,79,2,3.5,3.5,3.5,3.35
1,D,93,2.5,1,4,2.5,2.2
1,D,86,1,2,4,3,2.6
0,B,100,1.5,1.1,1,1.5,1.33
0,B,93,1.1,2,1.9,2,1.9
0,B,79,1.3,2.8,2.5,2.4,2.42
0,B,86,1.2,1.3,1.2,1.2,1.23
1,B,100,1.5,3.5,3,2.2,2.6
1,B,79,1.2,2.2,2,2,1.98
1,B,93,1.1,2.8,2.4,3,2.69
1,B,86,1.1,1,1.2,1.1,1.08
0,A,100,3,2.5,3.5,2.5,2.65
0,A,93,4,4,4,4.5,4.25
0,A,79,2,2,3,3,2.6
0,A,86,2,2,2.5,1,1.55
1,A,100,1.5,1,1.5,2,1.6
1,A,79,3,4,3.5,4.5,4.1
1,A,93,2,2.5,3.5,4.5,3.55
1,A,86,1.5,2.5,3,2,2.2
0,C,100,2,3,4,5,4
0,C,93,3,2,5,4,3.4
0,C,79,4,2,4,5,3.9
0,C,86,1,1,5,1,1.4
1,C,100,3,3,4,3.5,3.35
1,C,79,5,4,5,5,4.7
1,C,93,2,3,4,4,3.5
1,C,86,2,3,4,4,3.5